model_name,configuration,series_key,status,reason,mae,rmse,mape,smape,r2,mase,parameters
Seasonal Naive,default,WHITE HANGING HEART T-LIGHT HOLDER | United Kingdom | Lighting,evaluated,,112.52222222222223,170.5881052876205,79.22541417506773,61.382789027844524,-0.5082536564779863,0.7907463650414835,{}
Moving Average,default,WHITE HANGING HEART T-LIGHT HOLDER | United Kingdom | Lighting,evaluated,,102.95909078921034,158.0323010409211,1578.048837102082,75.96710741439506,-0.07765223614458394,0.6904879898092843,{}
Exponential Smoothing,default,WHITE HANGING HEART T-LIGHT HOLDER | United Kingdom | Lighting,evaluated,,103.33673952796464,155.94265721635608,1880.316951571731,74.13012013159279,-0.05499637989789045,0.6979957181019106,{}
Holt,default,WHITE HANGING HEART T-LIGHT HOLDER | United Kingdom | Lighting,evaluated,,100.68212113825025,161.41034780075145,1440.7629119204632,75.95053365941206,-0.1537649923081359,0.6776952251888049,{}
Holt-Winters,default,WHITE HANGING HEART T-LIGHT HOLDER | United Kingdom | Lighting,evaluated,,83.77232553143975,141.71978391621346,67.74941425033539,53.439149434490524,0.13951277446221358,0.5664682860077241,{}
ARIMA,default,WHITE HANGING HEART T-LIGHT HOLDER | United Kingdom | Lighting,evaluated,,103.35847749002347,155.990928195689,1879.8432292191446,74.14492139749164,-0.0555135306775126,0.6981369047544753,{}
SARIMA,default,WHITE HANGING HEART T-LIGHT HOLDER | United Kingdom | Lighting,evaluated,,86.50836963091304,142.40777765906503,306.34801697225936,73.60444137938782,0.1334287248710447,0.5853851441696593,{}
Linear Regression,default,WHITE HANGING HEART T-LIGHT HOLDER | United Kingdom | Lighting,evaluated,,324.4322782413302,395.2256290750059,4422.387364515857,132.90137598876655,-11.472217868814964,2.354821441597992,{}
Ridge,default,WHITE HANGING HEART T-LIGHT HOLDER | United Kingdom | Lighting,evaluated,,190.86263720150487,241.4114767829861,1961.2147457333429,119.67319565363238,-2.184547978482259,1.322254933196581,{}
Lasso,default,WHITE HANGING HEART T-LIGHT HOLDER | United Kingdom | Lighting,evaluated,,270.26323013856484,331.46978807536783,3560.6486938364815,126.53243285017739,-6.853032306195826,1.9350313986174223,{}
ElasticNet,default,WHITE HANGING HEART T-LIGHT HOLDER | United Kingdom | Lighting,evaluated,,190.9167883139988,241.3866653137177,1949.7977977522978,119.7895856917353,-2.192765063795658,1.322883603970961,{}
Decision Tree,default,WHITE HANGING HEART T-LIGHT HOLDER | United Kingdom | Lighting,evaluated,,113.79857664485122,173.64625444808667,73.01171641461903,63.07952937220076,-0.4791741161320127,0.7711794802991306,{}
Random Forest,default,WHITE HANGING HEART T-LIGHT HOLDER | United Kingdom | Lighting,evaluated,,91.8749954657688,143.81077195321225,141.9795355489257,77.3483560566989,0.11392687072716938,0.6297999068832533,{}
Extra Trees,default,WHITE HANGING HEART T-LIGHT HOLDER | United Kingdom | Lighting,evaluated,,94.3881851851852,147.39288245523252,82.52141835116178,49.24044642939398,0.05310717029079385,0.6530770412748522,{}
Gradient Boosting,default,WHITE HANGING HEART T-LIGHT HOLDER | United Kingdom | Lighting,evaluated,,94.98203442571292,146.48889807016977,777.7504538081681,75.95418953996337,0.08313112748125677,0.6428872959376372,{}
AdaBoost,default,WHITE HANGING HEART T-LIGHT HOLDER | United Kingdom | Lighting,evaluated,,93.52294004638776,143.02645126233105,803.5237804650274,74.88905692927035,0.13110599123875885,0.6347667960910922,{}
MLP,default,WHITE HANGING HEART T-LIGHT HOLDER | United Kingdom | Lighting,evaluated,,103.80863696282707,153.52110928387015,1669.634203880638,75.18137270846175,-0.03459670067544166,0.6935447374089782,{}
Naive,default,WORLD WAR 2 GLIDERS ASSTD DESIGNS | United Kingdom | Other,evaluated,,561.2444444444444,885.5661576067765,11491.942799788683,139.90921880908715,-1.2686775763645295,1.667085993880517,{}
Seasonal Naive,default,WORLD WAR 2 GLIDERS ASSTD DESIGNS | United Kingdom | Other,evaluated,,581.0888888888888,1204.3078844953518,9853.40324581715,100.41945142040193,-3.1695587286160616,1.6341636361422793,{}
Moving Average,default,WORLD WAR 2 GLIDERS ASSTD DESIGNS | United Kingdom | Other,evaluated,,529.4611310173728,766.4075464605567,14275.187869746456,145.30450375102922,-0.5034249611534035,1.4898080234126043,{}
